fac_id,wgt_fac,wgt_abs,wgt_know
401001,2.2435896,2.2435896,8.974359
401002,2.2435896,2.2435896,3.3653843
401003,2.2435896,2.2435896,2.2435896
401005,2.2435896,2.2435896,6.7307687
401006,2.2435896,2.2435896,2.2435896
401008,2.2435896,2.2435896,4.4871793
401010,2.2435896,2.2435896,2.2435896
401013,2.2435896,2.2435896,2.2435896
401015,2.2435896,2.2435896,8.974359
401016,2.2435896,2.2435896,4.4871793
401018,2.2435896,2.2435896,2.2435896
401020,2.2435896,2.2435896,3.3653843
401023,2.2435896,2.2435896,2.2435896
401024,1.0,1.0,1.6666666
401078,2.2435896,2.2435896,4.4871793
401079,2.2435896,2.2435896,4.4871793
401080,2.2435896,2.2435896,4.4871793
401081,2.2435896,2.2435896,2.2435896
401098,2.2435896,2.2435896,4.4871793
402002,2.255814,2.255814,2.255814
402004,2.255814,2.255814,3.383721
402005,2.255814,2.255814,2.255814
402007,2.255814,2.255814,2.255814
402008,2.255814,2.255814,15.790698
402011,1.0,1.0,1.25
402020,2.255814,2.255814,4.511628
403006,2.255814,2.255814,3.383721
403008,2.255814,2.255814,2.255814
403012,2.255814,2.255814,6.767442
403013,2.255814,2.255814,4.511628
403016,2.255814,2.255814,4.511628
403020,2.255814,2.255814,4.511628
403022,2.255814,2.255814,4.511628
404004,2.2435896,2.2435896,2.991453
404006,1.0,1.0,3.3333333
404007,1.0,1.0,1.5
404008,2.2435896,2.2435896,2.2435896
404009,2.2435896,2.2435896,4.4871793
404013,2.2435896,2.2435896,2.2435896
404014,2.2435896,2.2435896,5.608974
404038,2.2435896,2.2435896,6.7307687
404040,2.2435896,2.2435896,2.2435896
404042,2.2435896,2.2435896,5.608974
404950,,,
405001,2.255814,2.255814,4.511628
405005,2.255814,2.255814,4.511628
405006,2.255814,2.255814,3.383721
405007,2.255814,2.255814,2.255814
405009,2.255814,2.255814,4.511628
405010,2.255814,2.255814,2.255814
405011,2.255814,2.255814,4.511628
405013,2.255814,2.255814,4.511628
405014,1.0,1.0,3.0
406001,2.2307692,2.2307692,2.2307692
406003,2.2307692,2.2307692,4.4615383
406004,2.2307692,2.2307692,2.2307692
406010,1.0,1.0,1.6666666
406031,2.2307692,2.2307692,4.4615383
406946,,,
406947,,,
406949,,,
407001,2.2435896,2.2435896,2.2435896
407003,2.2435896,2.2435896,2.2435896
407007,2.2435896,2.2435896,2.2435896
408001,2.255814,2.255814,3.0077522
408002,2.255814,2.255814,3.383721
408005,2.255814,2.255814,3.9476745
408006,2.255814,2.255814,6.767442
408029,2.255814,2.255814,2.255814
409003,2.2307692,2.2307692,3.3461537
409004,2.2307692,2.2307692,2.2307692
409005,2.2307692,2.2307692,8.923077
409006,2.2307692,2.2307692,6.6923075
409007,2.2307692,2.2307692,2.2307692
409008,2.2307692,2.2307692,6.6923075
409010,2.2307692,2.2307692,5.576923
409011,2.2307692,2.2307692,2.9743588
409013,1.0,1.0,
409027,2.2307692,2.2307692,2.2307692
409029,2.2307692,2.2307692,7.8076916
409030,2.2307692,2.2307692,2.2307692
409031,2.2307692,2.2307692,3.3461537
409032,2.2307692,2.2307692,6.6923075
409033,2.2307692,2.2307692,2.2307692
409034,2.2307692,2.2307692,4.4615383
409041,2.2307692,2.2307692,4.4615383
409042,2.2307692,2.2307692,4.4615383
409043,2.2307692,2.2307692,3.3461537
409044,1.0,1.0,1.0
410001,2.2307692,2.2307692,2.9743588
410002,2.2307692,2.2307692,4.4615383
410004,2.2307692,2.2307692,17.846153
410005,2.2307692,2.2307692,2.9743588
410006,2.2307692,2.2307692,10.038461
410007,2.2307692,2.2307692,3.3461537
410009,2.2307692,2.2307692,2.2307692
410010,2.2307692,2.2307692,3.7179484
410012,2.2307692,2.2307692,2.2307692
410013,2.2307692,2.2307692,2.2307692
410014,2.2307692,2.2307692,2.2307692
410015,2.2307692,2.2307692,2.8681316
410016,2.2307692,2.2307692,6.6923075
410017,1.0,1.0,1.25
410077,2.2307692,2.2307692,4.4615383
410079,1.0,1.0,1.2
410132,2.2307692,2.2307692,6.6923075
410152,2.2307692,2.2307692,6.6923075
411001,2.2435896,2.2435896,8.974359
411002,2.2435896,2.2435896,8.974359
411003,2.2435896,2.2435896,2.2435896
411006,2.2435896,2.2435896,4.4871793
411009,2.2435896,2.2435896,2.6923077
411010,1.0,1.0,
411011,1.0,1.0,4.5
411039,2.2435896,2.2435896,2.991453
411040,2.2435896,2.2435896,2.2435896
411042,2.2435896,2.2435896,4.4871793
412001,2.255814,2.255814,6.767442
412003,2.255814,2.255814,3.0077522
412004,2.255814,2.255814,3.383721
412007,2.255814,2.255814,4.511628
412008,2.255814,2.255814,4.511628
412010,2.255814,2.255814,2.255814
412011,2.255814,2.255814,4.511628
412014,2.255814,2.255814,2.255814
412017,1.0,1.0,1.25
412068,2.255814,2.255814,2.255814
412094,2.255814,2.255814,4.511628
412110,2.255814,2.255814,6.767442
412112,2.255814,2.255814,2.255814
412953,,,
413001,2.255814,2.255814,3.5448508
413002,2.255814,2.255814,5.263566
413004,2.255814,2.255814,4.511628
413007,2.255814,2.255814,9.023256
413009,2.255814,2.255814,4.511628
413011,1.0,1.0,
413031,2.255814,2.255814,2.255814
413033,2.255814,2.255814,5.263566
413034,1.0,1.0,1.6
413948,,,
414002,2.2307692,2.2307692,4.4615383
414003,2.2307692,2.2307692,6.6923075
414009,2.2307692,2.2307692,4.4615383
414012,2.2307692,2.2307692,6.6923075
414055,2.2307692,2.2307692,4.4615383
414056,2.2307692,2.2307692,4.4615383
414058,2.2307692,2.2307692,2.2307692
414059,2.2307692,2.2307692,6.6923075
415001,2.2435896,2.2435896,3.3653843
415002,2.2435896,2.2435896,2.991453
415004,2.2435896,2.2435896,2.2435896
415005,2.2435896,2.2435896,3.3653843
415007,2.2435896,2.2435896,4.4871793
415010,2.2435896,2.2435896,2.2435896
415011,2.2435896,2.2435896,2.2435896
415013,2.2435896,2.2435896,6.7307687
415015,2.2435896,2.2435896,4.4871793
