fac_id,btHSSF,ipw2,countycode
12894,5,12.25,30
12905,6,3.0,30
12912,3,2.1666667,30
12913,3,2.1666667,30
12930,3,2.1666667,30
12995,4,1.5,30
12996,3,2.1666667,30
12997,3,2.1666667,30
13000,1,3.0,30
13017,4,1.5,30
13030,5,12.25,30
13056,3,2.1666667,30
13068,4,1.5,30
13089,4,1.5,30
13121,12,12.0,30
13151,4,1.5,30
13153,3,2.1666667,30
13156,1,3.0,30
13218,6,3.0,30
13220,5,12.25,30
13240,3,2.1666667,30
13243,2,11.0,30
13248,4,1.5,30
13249,3,2.1666667,30
13473,4,1.6666666,38
13476,1,3.0,38
13485,5,3.0,38
13489,4,4.313478,8
13535,6,1.0,38
13540,1,3.0,34
13547,4,1.3333334,34
13562,3,4.5,34
13588,1,3.0,38
13589,3,8.626956,8
13600,3,4.0,38
13606,4,4.313478,8
13607,3,8.626956,8
13608,1,10.949598,8
13614,12,27.0,34
13626,3,4.5,34
13628,4,1.3333334,34
13641,3,4.0,38
13660,4,1.3333334,34
13666,5,2.0,34
13667,6,1.9908361,8
13731,12,29.862541,8
13766,1,3.0,34
13768,4,4.313478,8
13771,3,4.0,38
13791,4,1.3333334,34
13794,5,2.0,34
13840,3,4.0,38
13841,1,10.949598,8
13852,4,1.6666666,38
13860,5,2.0,34
13873,5,14.931271,8
13875,3,8.626956,8
13904,4,1.6666666,38
13905,2,2.0,34
13911,4,1.3333334,34
13926,2,131.39517,8
13929,4,1.6666666,38
13936,4,1.3333334,34
13962,5,14.931271,8
14033,4,1.6666666,38
14039,4,4.313478,8
14048,3,4.5,34
14063,3,4.0,38
14072,4,1.6666666,38
14075,3,8.626956,8
14119,4,4.313478,8
14150,3,8.626956,8
14152,4,4.313478,8
14156,3,4.0,38
14162,3,8.626956,8
14163,12,32.0,38
14177,4,5.0142035,31
14196,4,7.152263,47
14198,5,20.435038,47
14221,5,20.435038,47
14274,5,20.690475,44
14317,3,9.770503,44
14330,1,14.304526,47
14356,5,20.435038,47
14379,3,6.7538857,42
14431,1,8.099867,31
14444,12,257.48148,47
14510,1,8.099867,31
14549,4,5.0142035,31
14550,4,5.0142035,31
14554,5,38.185085,31
14555,1,5.172619,44
14615,3,7.152263,47
14624,3,9.770503,44
14701,1,14.304526,47
14722,5,5.0654144,42
14734,3,6.7538857,42
14753,1,9.005181,42
14819,12,206.90475,44
14836,3,9.25699,31
14837,3,7.152263,47
14872,6,4.5025907,42
14915,3,9.770503,44
14947,1,9.005181,42
14948,5,5.0654144,42
14958,12,121.569954,42
14991,5,20.435038,47
15011,4,3.4484127,44
15013,3,9.25699,31
15130,5,20.435038,47
15131,5,5.0654144,42
15134,5,5.0654144,42
15135,4,3.4484127,44
15200,3,9.25699,31
15208,4,3.4484127,44
15282,4,5.0142035,31
15290,4,5.0142035,31
15314,5,20.435038,47
15365,3,9.25699,31
15406,3,9.25699,31
15446,6,7.152263,47
15458,5,5.0654144,42
15464,6,3.4484127,44
15509,2,32.399467,31
15551,3,7.152263,47
15623,3,9.770503,44
15632,4,3.4484127,44
15639,4,5.0142035,31
15651,5,38.185085,31
15655,5,20.690475,44
15669,5,5.0654144,42
15692,3,6.7538857,42
15705,3,7.152263,47
15721,12,178.19707,31
15747,3,6.7538857,42
15753,3,9.770503,44
15755,3,7.152263,47
15763,3,9.25699,31
15788,1,5.172619,44
15828,1,10.253687,3
15855,1,10.253687,3
15860,3,5.5540805,3
15861,5,14.098819,3
15864,4,2.5634217,3
15918,5,14.098819,3
15925,4,2.5634217,3
15935,4,2.5634217,3
15941,4,2.5634217,3
15944,12,117.917404,3
15965,6,2.5634217,3
15984,2,41.014748,3
15994,3,5.5540805,3
16018,3,5.5540805,3
16020,5,14.098819,3
16079,3,5.5540805,3
16138,4,2.5634217,3
16152,3,5.5540805,3
16160,3,5.5540805,3
16168,4,1.5,30
16181,5,8.140515,14
16323,12,257.48148,47
16350,3,9.770503,44
16354,2,62.071426,44
16361,3,6.7538857,42
16362,3,6.7538857,42
16367,3,7.152263,47
16657,5,5.5118933,18
16981,3,4.5,34
16988,3,4.5,34
16989,3,4.5,34
16996,5,5.5118933,18
16997,5,5.5118933,18
17233,12,16.770174,28
17405,3,2.1666667,30
17466,4,3.4484127,44
17482,5,6.362621,23
17528,5,3.0,38
17549,5,6.362621,23
17685,4,1.5,30
17876,4,1.5,30
17933,4,1.5,30
17943,6,3.0,30
17971,4,1.5,30
18008,2,68.314445,23
18012,5,8.140515,14
18173,5,39.967945,15
18211,12,16.770174,28
18267,4,4.0702577,14
18305,5,6.0982456,28
18321,2,53.0,38
18484,5,12.25,30
18515,5,5.0654144,42
18516,2,84.18163,18
18556,2,11.0,30
