fac_id,btHSSF,ipw2,countycode
10048,4,6.0557494,15
10049,3,10.092916,15
10093,5,39.967945,15
10109,5,39.967945,15
10171,1,1.5,35
10185,5,2.2857144,35
10213,12,224.06271,15
10223,2,4.0,35
10320,5,2.2857144,35
10419,3,2.1666667,35
10423,5,2.2857144,35
10462,3,10.092916,15
10509,3,2.1666667,35
10520,1,9.083624,15
10531,5,39.967945,15
10562,12,224.06271,15
10564,4,6.0557494,15
10609,1,9.083624,15
10671,3,2.1666667,35
10738,4,6.0557494,15
10755,5,2.2857144,35
10781,3,10.092916,15
10796,5,39.967945,15
10798,3,10.092916,15
10808,6,6.0557494,15
10820,12,32.0,35
10877,4,1.0,35
10878,3,2.1666667,35
10887,6,1.0,35
10914,5,2.2857144,35
10916,1,1.5,35
10927,5,2.2857144,35
10979,5,2.2857144,35
10994,3,10.092916,15
11004,3,2.1666667,35
11130,3,10.092916,15
11173,3,2.1666667,35
11282,3,8.140515,14
11375,5,6.0982456,28
11383,3,8.140515,14
11395,3,6.0982456,28
11397,12,16.770174,28
11436,3,6.0982456,28
11474,1,10.175644,14
11497,3,8.140515,14
11514,5,8.140515,14
11522,1,9.147368,28
11538,3,6.0982456,28
11553,5,8.140515,14
11566,1,10.175644,14
11573,4,6.0982456,28
11580,3,8.140515,14
11600,6,18.294737,28
11609,2,56.983604,14
11614,5,6.0982456,28
11640,12,16.770174,28
11645,4,6.0982456,28
11654,5,8.140515,14
11677,3,8.140515,14
11697,2,115.86666,28
11723,12,16.770174,28
11740,1,9.147368,28
11753,5,8.140515,14
11758,12,227.93442,14
11818,6,8.140515,14
11831,12,16.770174,28
11861,3,6.0982456,28
11881,3,8.140515,14
11961,5,6.362621,23
11962,5,6.362621,23
12018,6,6.0277452,23
12150,3,6.697495,23
12191,3,6.697495,23
12207,4,2.0092485,23
12236,3,6.697495,23
12255,1,9.645812,18
12258,3,6.722839,18
12406,12,254.2987,18
12417,5,5.5118933,18
12455,1,9.041618,23
12456,5,6.362621,23
12468,12,112.517914,23
12477,3,6.697495,23
12483,3,6.722839,18
12485,1,9.041618,23
12499,3,6.697495,23
12521,3,6.722839,18
12523,1,9.645812,18
12587,6,3.5075681,18
12599,5,5.5118933,18
12609,5,5.5118933,18
12693,3,6.697495,23
12724,5,6.362621,23
12737,5,6.362621,23
12789,4,1.7537841,18
12839,3,6.722839,18
12849,3,6.722839,18
12853,3,6.722839,18
12860,5,5.5118933,18
12876,12,12.0,30
