fac_id,surveyed,stratum,fpc_fac,fpc_abs,wgt_abs,wgt_know_b,wgt_know_c,wgt_know_d,wgt_know_e,wgt_know_f,wgt_know_g,wgt_know_h,fpc_know_b,fpc_know_c,fpc_know_d,fpc_know_e,fpc_know_f,fpc_know_g,fpc_know_h,fpc_15,fpc_67,wgt_fac
173,1,1,0.21064301,1.0,20.871298,10.435649,10.435649,10.435649,10.435649,10.435649,5.2178245,5.2178245,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,5.2178245
174,1,5,0.7307692,0.5263158,43.789474,6.385965,6.385965,6.385965,6.385965,6.385965,3.831579,3.831579,0.21428572,0.21428572,0.21428572,0.21428572,0.21428572,0.35714287,0.35714287,0.21428572,0.35714287,1.3684211
175,1,3,0.36619717,1.0,33.283825,6.0516047,6.0516047,6.0516047,6.0516047,6.0516047,4.5387034,4.5387034,0.5,0.5,0.5,0.5,0.5,0.6666667,0.6666667,0.5,0.6666667,3.0258024
176,1,1,0.21064301,1.0,187.52548,93.76274,93.76274,93.76274,93.76274,93.76274,46.88137,46.88137,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.2,0.4,18.752548
177,1,1,0.21064301,1.0,22.097809,8.839124,8.839124,8.839124,8.839124,8.839124,8.839124,8.839124,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4.419562
178,1,1,0.21064301,1.0,14.280511,5.355191,5.355191,5.355191,5.355191,5.355191,3.5701277,3.5701277,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,1.0,1.0,0.6666667,1.0,3.5701277
179,1,5,0.7307692,0.4,69.789474,10.85614,10.85614,10.85614,10.85614,10.85614,6.5136843,6.5136843,0.12605043,0.12605043,0.12605043,0.12605043,0.12605043,0.21008404,0.21008404,0.12605043,0.21008404,1.3684211
180,1,1,0.21064301,1.0,4.0733366,2.7155576,2.7155576,2.7155576,2.7155576,2.7155576,1.3577788,1.3577788,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.3577788
181,1,1,0.21064301,1.0,6.0,1.3333334,1.3333334,1.3333334,1.3333334,1.3333334,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.0,1.0,0.75,1.0,1.0
182,1,1,0.21064301,1.0,5.0,1.5,1.5,1.5,1.5,1.5,1.0,1.0,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,1.0,1.0,0.6666667,1.0,1.0
183,1,1,0.21064301,1.0,11.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0
184,1,4,0.32,0.8333333,10.0,1.25,1.25,1.25,1.25,1.25,1.25,1.25,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.0
185,1,4,0.32,1.0,13.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
186,1,2,0.23880596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
187,1,4,0.32,0.4,45.0,,,,,,6.4133334,6.4133334,0.0,0.0,0.0,0.0,0.0,0.15592515,0.15592515,0.0,0.15592515,1.0
188,1,2,0.23880596,1.0,12.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,1.0
