fac_id,region,finalwt,ipw,absprobsamp,abshwkwt,probvign,hwkvignwt,countycode,districtcode,subcountycode,parishcode
135,2.0,3.5240002,3.5240002,0.7692308,4.5812,0.23076923,15.270668,4.0,25.0,35.0,43.0
136,2.0,14.876021,14.876021,0.71428573,20.82643,0.2857143,52.06607,4.0,25.0,36.0,71.0
137,2.0,14.876021,14.876021,1.0,14.876021,0.5,29.752043,4.0,25.0,36.0,76.0
138,2.0,6.4539266,6.4539266,0.5882353,10.971675,0.11764706,54.858376,4.0,25.0,42.0,209.0
139,2.0,14.441332,14.441332,1.0,14.441332,0.6666667,21.661999,4.0,25.0,44.0,56.0
140,2.0,5.791574,5.791574,1.0,5.791574,0.5,11.583148,4.0,25.0,133.0,57.0
141,2.0,6.643788,6.643788,1.0,6.643788,1.0,6.643788,5.0,8.0,20.0,261.0
142,2.0,6.643788,6.643788,1.0,6.643788,1.0,6.643788,5.0,8.0,20.0,275.0
143,2.0,23.261383,23.261383,0.15789473,147.3221,0.05263158,441.96628,5.0,8.0,49.0,77.0
144,2.0,6.52861,6.52861,0.2857143,22.850134,0.2857143,22.850134,5.0,8.0,68.0,97.0
145,2.0,6.52861,6.52861,0.25,26.11444,0.083333336,78.34332,5.0,8.0,68.0,101.0
146,2.0,6.52861,6.52861,1.0,6.52861,1.0,6.52861,5.0,8.0,68.0,111.0
147,2.0,5.6590414,5.6590414,1.0,5.6590414,0.6666667,8.488562,5.0,8.0,92.0,232.0
148,4.0,15.424122,15.424122,1.0,15.424122,0.6,25.70687,28.0,3.0,3.0,3.0
149,4.0,15.424122,15.424122,1.0,15.424122,0.5714286,26.992212,28.0,3.0,3.0,17.0
150,4.0,9.827105,9.827105,1.0,9.827105,0.4,24.56776,28.0,3.0,4.0,21.0
151,4.0,14.2281685,14.2281685,1.0,14.2281685,0.5,28.456337,28.0,3.0,54.0,24.0
152,4.0,4.5750813,4.5750813,1.0,4.5750813,0.6,7.6251354,28.0,3.0,64.0,100.0
153,4.0,8.722806,8.722806,1.0,8.722806,0.8,10.903507,28.0,3.0,154.0,20.0
154,4.0,8.722806,8.722806,1.0,8.722806,0.6666667,13.084209,28.0,3.0,154.0,300.0
155,4.0,3.8443682,3.8443682,0.375,10.251649,0.25,15.377473,2.0,4.0,9.0,14.0
156,4.0,3.184542,3.184542,0.8888889,3.5826097,0.22222222,14.330439,2.0,4.0,56.0,296.0
157,4.0,6.289453,6.289453,0.45454547,13.836797,0.27272728,23.061327,2.0,4.0,134.0,92.0
158,4.0,8.36903,8.36903,0.875,9.564606,0.25,33.47612,2.0,4.0,173.0,331.0
159,4.0,7.8797245,7.8797245,0.5,15.759449,0.1,78.79724,2.0,4.0,182.0,194.0
160,4.0,7.8797245,7.8797245,0.6666667,11.819587,0.41666666,18.911339,2.0,4.0,182.0,288.0
161,4.0,15.97043,15.97043,1.0,15.97043,0.33333334,47.911293,17.0,20.0,99.0,297.0
162,4.0,3.3173807,3.3173807,1.0,3.3173807,0.6666667,4.976071,17.0,20.0,100.0,303.0
163,4.0,3.3173807,3.3173807,1.0,3.3173807,0.2,16.586903,17.0,20.0,100.0,309.0
164,4.0,5.3517504,5.3517504,1.0,5.3517504,0.33333334,16.055252,17.0,20.0,113.0,304.0
165,4.0,16.202042,16.202042,1.0,16.202042,0.16666667,97.21225,17.0,20.0,114.0,192.0
166,4.0,4.474002,4.474002,0.75,5.965336,0.5,8.948004,17.0,20.0,175.0,306.0
167,4.0,9.4768305,9.4768305,1.0,9.4768305,1.0,9.4768305,17.0,20.0,178.0,12.0
168,4.0,16.85906,16.85906,1.0,16.85906,0.6666667,25.28859,26.0,2.0,6.0,16.0
169,4.0,16.70476,16.70476,1.0,16.70476,1.0,16.70476,26.0,2.0,10.0,22.0
170,4.0,15.835179,15.835179,1.0,15.835179,0.6,26.391966,26.0,2.0,57.0,91.0
171,4.0,11.203885,11.203885,1.0,11.203885,1.0,11.203885,18.0,9.0,8.0,19.0
172,4.0,17.042053,17.042053,0.6,28.403421,0.8,21.302567,18.0,9.0,13.0,13.0
173,4.0,17.042053,17.042053,1.0,17.042053,0.75,22.722738,18.0,9.0,13.0,23.0
174,4.0,18.556778,18.556778,1.0,18.556778,0.5,37.113556,18.0,9.0,77.0,25.0
175,4.0,10.728027,10.728027,1.0,10.728027,0.33333334,32.184082,18.0,9.0,172.0,292.0
176,4.0,4.124352,4.124352,0.5,8.248704,0.25,16.497408,32.0,26.0,169.0,311.0
177,4.0,5.31564,5.31564,0.53846157,9.871902,0.15384616,34.55166,32.0,26.0,174.0,294.0
178,4.0,5.31564,5.31564,0.2857143,18.604738,0.2857143,18.604738,32.0,26.0,174.0,310.0
179,4.0,8.93885,8.93885,0.6666667,13.408276,0.33333334,26.816551,32.0,26.0,194.0,203.0
180,4.0,3.9091399,3.9091399,0.0,,0.33333334,11.72742,38.0,33.0,1.0,5.0
181,4.0,3.9091399,3.9091399,0.8,4.886425,0.8,4.886425,38.0,33.0,1.0,9.0
182,4.0,2.803757,2.803757,1.0,2.803757,1.0,2.803757,38.0,33.0,2.0,28.0
183,4.0,1.9246539,1.9246539,0.5,3.8493078,0.25,7.6986156,38.0,33.0,7.0,1.0
184,4.0,9.827105,9.827105,0.0,,0.5,19.65421,38.0,33.0,61.0,15.0
185,4.0,1.958136,1.958136,1.0,1.958136,0.5,3.916272,38.0,33.0,72.0,124.0
186,4.0,3.1137042,3.1137042,1.0,3.1137042,0.5,6.2274084,38.0,33.0,118.0,4.0
187,4.0,3.238346,3.238346,1.0,3.238346,0.33333334,9.715038,38.0,33.0,140.0,2.0
188,4.0,3.238346,3.238346,1.0,3.238346,1.0,3.238346,38.0,33.0,146.0,18.0
189,4.0,1.8337587,1.8337587,1.0,1.8337587,0.42857143,4.27877,38.0,33.0,162.0,11.0
190,4.0,13.51671,13.51671,1.0,13.51671,0.4,33.791775,1.0,1.0,5.0,277.0
191,4.0,5.0392222,5.0392222,0.0,,0.25,20.156889,1.0,1.0,107.0,204.0
192,4.0,13.287415,13.287415,1.0,13.287415,0.25,53.14966,1.0,1.0,115.0,290.0
193,4.0,11.794504,11.794504,1.0,11.794504,0.5,23.589008,1.0,1.0,116.0,7.0
194,4.0,8.71797,8.71797,1.0,8.71797,0.5,17.43594,1.0,1.0,122.0,278.0
195,4.0,9.854118,9.854118,1.0,9.854118,0.5,19.708237,1.0,1.0,176.0,202.0
196,4.0,9.373356,9.373356,1.0,9.373356,0.25,37.493423,1.0,1.0,181.0,301.0
197,4.0,21.302486,21.302486,1.0,21.302486,0.33333334,63.90746,1.0,1.0,186.0,302.0
198,4.0,21.323494,21.323494,1.0,21.323494,0.5,42.646988,31.0,23.0,117.0,90.0
199,4.0,9.827105,9.827105,1.0,9.827105,1.0,9.827105,31.0,23.0,127.0,291.0
200,4.0,18.642029,18.642029,1.0,18.642029,1.0,18.642029,31.0,23.0,183.0,122.0
201,4.0,17.732508,17.732508,1.0,17.732508,0.54545456,32.509598,31.0,23.0,184.0,233.0
202,4.0,12.447098,12.447098,1.0,12.447098,0.33333334,37.341293,31.0,23.0,185.0,305.0
203,4.0,7.935661,7.935661,1.0,7.935661,0.6666667,11.903491,37.0,38.0,66.0,106.0
204,4.0,11.123223,11.123223,0.375,29.66193,0.375,29.66193,37.0,38.0,78.0,307.0
205,4.0,11.123223,11.123223,0.18181819,61.177727,0.18181819,61.177727,37.0,38.0,78.0,307.0
206,4.0,26.65632,26.65632,1.0,26.65632,0.5714286,46.64856,37.0,38.0,179.0,299.0
207,4.0,4.026587,4.026587,0.1,40.26587,0.05,80.53174,37.0,38.0,180.0,85.0
208,5.0,12.745843,12.745843,0.90909094,14.020428,0.18181819,70.102135,9.0,6.0,28.0,39.0
209,5.0,23.628391,23.628391,1.0,23.628391,0.5,47.256783,9.0,6.0,60.0,59.0
210,5.0,11.958991,11.958991,1.0,11.958991,0.33333334,35.876972,9.0,6.0,167.0,286.0
211,5.0,19.48067,19.48067,0.5,38.96134,0.25,77.92268,7.0,10.0,19.0,144.0
212,5.0,10.196141,10.196141,0.44444445,22.941319,0.11111111,91.765274,7.0,10.0,39.0,107.0
213,5.0,10.196141,10.196141,1.0,10.196141,0.5,20.392282,7.0,10.0,39.0,326.0
214,5.0,7.335994,7.335994,1.0,7.335994,0.33333334,22.00798,7.0,10.0,101.0,29.0
215,5.0,7.335994,7.335994,1.0,7.335994,0.5,14.671988,7.0,10.0,101.0,55.0
216,5.0,7.335994,7.335994,0.75,9.781325,0.33333334,22.00798,7.0,10.0,101.0,167.0
217,5.0,7.335994,7.335994,1.0,7.335994,0.33333334,22.00798,7.0,10.0,101.0,170.0
218,5.0,8.250389,8.250389,0.2,41.251945,0.1,82.50389,7.0,10.0,109.0,61.0
219,5.0,8.250389,8.250389,1.0,8.250389,0.5,16.500778,7.0,10.0,109.0,157.0
220,5.0,10.859767,10.859767,1.0,10.859767,0.33333334,32.5793,10.0,10.0,24.0,164.0
221,5.0,10.859767,10.859767,0.25,43.439068,0.125,86.878136,10.0,10.0,24.0,196.0
222,5.0,6.3461256,6.3461256,0.18181819,34.90369,0.09090909,69.80738,10.0,10.0,67.0,30.0
223,5.0,6.3461256,6.3461256,0.5,12.692251,0.5,12.692251,10.0,10.0,67.0,96.0
224,5.0,6.187059,6.187059,0.5,12.374118,0.25,24.748236,10.0,10.0,105.0,49.0
225,5.0,6.187059,6.187059,0.75,8.249413,0.5,12.374118,10.0,10.0,105.0,161.0
226,5.0,6.1789713,6.1789713,0.8333333,7.414766,0.33333334,18.536915,35.0,12.0,22.0,
227,5.0,6.1789713,6.1789713,1.0,6.1789713,1.0,6.1789713,35.0,12.0,22.0,318.0
228,5.0,11.08958,11.08958,1.0,11.08958,0.6666667,16.634369,35.0,12.0,69.0,60.0
229,5.0,11.08958,11.08958,0.4,27.72395,0.1,110.8958,35.0,12.0,69.0,117.0
230,5.0,11.08958,11.08958,0.75,14.786106,0.5,22.17916,35.0,12.0,69.0,185.0
231,5.0,12.931092,12.931092,1.0,12.931092,0.6666667,19.396639,35.0,12.0,74.0,145.0
232,5.0,11.185641,11.185641,1.0,11.185641,0.75,14.914188,35.0,12.0,102.0,64.0
233,5.0,11.185641,11.185641,1.0,11.185641,0.16666667,67.113846,35.0,12.0,102.0,79.0
234,5.0,11.185641,11.185641,0.44444445,25.167692,0.33333334,33.556923,35.0,12.0,102.0,241.0
235,5.0,15.156609,15.156609,0.6666667,22.734913,0.33333334,45.469826,35.0,12.0,112.0,146.0
236,5.0,17.719412,17.719412,0.6666667,26.579117,0.6666667,26.579117,35.0,12.0,139.0,224.0
237,5.0,17.719412,17.719412,1.0,17.719412,1.0,17.719412,35.0,12.0,139.0,312.0
238,5.0,7.644723,7.644723,1.0,7.644723,0.75,10.192965,35.0,12.0,187.0,188.0
239,5.0,7.644723,7.644723,1.0,7.644723,0.6666667,11.467085,35.0,12.0,187.0,317.0
240,5.0,6.7054577,6.7054577,1.0,6.7054577,0.6666667,10.058187,39.0,12.0,14.0,113.0
241,5.0,6.7054577,6.7054577,1.0,6.7054577,0.75,8.940611,39.0,12.0,14.0,263.0
242,5.0,8.974325,8.974325,1.0,8.974325,0.5,17.94865,39.0,12.0,18.0,116.0
243,5.0,8.974325,8.974325,1.0,8.974325,1.0,8.974325,39.0,12.0,18.0,136.0
244,5.0,7.5773783,7.5773783,1.0,7.5773783,0.5,15.154757,39.0,12.0,59.0,323.0
245,5.0,19.318459,19.318459,1.0,19.318459,0.5,38.636917,39.0,12.0,63.0,
246,5.0,19.318459,19.318459,0.6666667,28.977688,0.44444445,43.46653,39.0,12.0,63.0,
247,5.0,19.318459,19.318459,1.0,19.318459,0.5,38.636917,39.0,12.0,63.0,135.0
248,5.0,19.318459,19.318459,0.7777778,24.838018,0.44444445,43.46653,39.0,12.0,63.0,186.0
249,5.0,6.556007,6.556007,1.0,6.556007,0.5,13.112014,39.0,12.0,143.0,
250,5.0,6.556007,6.556007,1.0,6.556007,1.0,6.556007,39.0,12.0,143.0,99.0
251,5.0,6.556007,6.556007,0.6666667,9.83401,0.33333334,19.66802,39.0,12.0,143.0,129.0
252,5.0,5.749135,5.749135,0.6666667,8.623703,0.33333334,17.247406,39.0,12.0,170.0,83.0
253,5.0,5.749135,5.749135,0.6666667,8.623703,0.6666667,8.623703,39.0,12.0,170.0,121.0
254,5.0,9.283212,9.283212,0.33333334,27.849636,0.33333334,27.849636,8.0,19.0,51.0,93.0
255,5.0,4.2639523,4.2639523,0.5,8.5279045,0.2,21.319761,8.0,19.0,82.0,119.0
256,5.0,5.2201676,5.2201676,1.0,5.2201676,1.0,5.2201676,8.0,19.0,151.0,169.0
257,5.0,5.2201676,5.2201676,0.6,8.700279,0.3,17.400558,8.0,19.0,151.0,221.0
258,5.0,5.7241526,5.7241526,0.5,11.448305,0.25,22.89661,8.0,19.0,164.0,182.0
259,5.0,13.773755,13.773755,1.0,13.773755,1.0,13.773755,11.0,27.0,17.0,134.0
260,5.0,13.773755,13.773755,0.115384616,119.37255,0.07692308,179.0588,11.0,27.0,17.0,165.0
261,5.0,13.773755,13.773755,0.25,55.09502,0.25,55.09502,11.0,27.0,17.0,287.0
262,5.0,16.29921,16.29921,0.4,40.748024,0.4,40.748024,11.0,27.0,52.0,118.0
263,5.0,16.29921,16.29921,1.0,16.29921,1.0,16.29921,11.0,27.0,52.0,179.0
264,5.0,16.29921,16.29921,0.6666667,24.448814,0.33333334,48.89763,11.0,27.0,52.0,179.0
265,5.0,16.29921,16.29921,1.0,16.29921,0.25,65.19684,11.0,27.0,52.0,179.0
266,5.0,16.29921,16.29921,0.6666667,24.448814,0.33333334,48.89763,11.0,27.0,52.0,285.0
267,5.0,8.179641,8.179641,1.0,8.179641,0.5,16.359282,20.0,32.0,53.0,103.0
